city,sa4_code,sa4_name,date,employed_persons,unemployed_persons,unemployment_rate,participation_rate
Adelaide,401,401 Adelaide - Central and Hills,2019-01-01,155469,7949,4.86403098,63.64757196
Adelaide,401,401 Adelaide - Central and Hills,2019-02-01,159362,7386,4.42953332,64.8323051
Adelaide,401,401 Adelaide - Central and Hills,2019-03-01,161148,7329,4.3501534,65.39058368
Adelaide,401,401 Adelaide - Central and Hills,2019-04-01,161895,7787,4.58930516,65.78433136
Adelaide,401,401 Adelaide - Central and Hills,2019-05-01,162471,6879,4.06182704,65.5830642
Adelaide,401,401 Adelaide - Central and Hills,2019-06-01,162062,7018,4.15090697,65.40528146
Adelaide,401,401 Adelaide - Central and Hills,2019-07-01,160817,8436,4.98399545,65.36945974
Adelaide,401,401 Adelaide - Central and Hills,2019-08-01,160483,8751,5.17112268,65.25925227
Adelaide,401,401 Adelaide - Central and Hills,2019-09-01,161001,6875,4.09521454,64.63426814
Adelaide,401,401 Adelaide - Central and Hills,2019-10-01,159260,7038,4.23238838,63.94849747
Adelaide,401,401 Adelaide - Central and Hills,2019-11-01,160975,7312,4.34478456,64.6332568
Adelaide,401,401 Adelaide - Central and Hills,2019-12-01,161619,7285,4.31336763,64.79164053
Adelaide,401,401 Adelaide - Central and Hills,2020-01-01,161409,7246,4.29641453,64.56085899
Adelaide,401,401 Adelaide - Central and Hills,2020-02-01,165459,7692,4.4421982,66.14292068
Adelaide,401,401 Adelaide - Central and Hills,2020-03-01,166143,8077,4.63614535,66.41264575
Adelaide,401,401 Adelaide - Central and Hills,2020-04-01,158301,9421,5.61727532,63.88619431
Adelaide,401,401 Adelaide - Central and Hills,2020-05-01,154928,11050,6.65733617,63.17250701
Adelaide,401,401 Adelaide - Central and Hills,2020-06-01,157495,11851,6.99803156,64.4047465
Adelaide,401,401 Adelaide - Central and Hills,2020-07-01,158426,11639,6.84405608,64.66432107
Adelaide,401,401 Adelaide - Central and Hills,2020-08-01,160396,11481,6.67960317,65.3386207
Adelaide,401,401 Adelaide - Central and Hills,2020-09-01,161560,9618,5.61875745,65.05894045
Adelaide,401,401 Adelaide - Central and Hills,2020-10-01,162642,9447,5.48934182,65.38661779
Adelaide,401,401 Adelaide - Central and Hills,2020-11-01,163616,8802,5.10506803,65.49487618
Adelaide,401,401 Adelaide - Central and Hills,2020-12-01,164672,8900,5.1274936,65.91461384
Adelaide,401,401 Adelaide - Central and Hills,2021-01-01,158943,10482,6.18665508,64.29903237
Adelaide,401,401 Adelaide - Central and Hills,2021-02-01,163796,10445,5.99481106,66.08548228
Adelaide,401,401 Adelaide - Central and Hills,2021-03-01,163450,9303,5.38522524,65.4793106
Adelaide,401,401 Adelaide - Central and Hills,2021-04-01,166292,8164,4.67966102,66.08663782
Adelaide,401,401 Adelaide - Central and Hills,2021-05-01,167395,8316,4.73254459,66.52010396
Adelaide,401,401 Adelaide - Central and Hills,2021-06-01,167692,7172,4.10144995,66.16127298
Adelaide,401,401 Adelaide - Central and Hills,2021-07-01,169229,7116,4.03530344,66.68655873
Adelaide,401,401 Adelaide - Central and Hills,2021-08-01,168473,6436,3.67976331,66.11075032
Adelaide,401,401 Adelaide - Central and Hills,2021-09-01,168780,7230,4.1079101,66.49170752
Adelaide,401,401 Adelaide - Central and Hills,2021-10-01,168477,7928,4.4942774,66.57137293
Adelaide,401,401 Adelaide - Central and Hills,2021-11-01,171500,6851,3.84123451,67.2350967
Adelaide,401,401 Adelaide - Central and Hills,2021-12-01,172462,5762,3.2331589,67.11793191
Adelaide,401,401 Adelaide - Central and Hills,2022-01-01,166507,7837,4.49487243,65.49779504
Adelaide,401,401 Adelaide - Central and Hills,2022-02-01,172344,8480,4.68956378,67.7694086
Adelaide,401,401 Adelaide - Central and Hills,2022-03-01,172831,7741,4.28715619,67.51201482
Adelaide,401,401 Adelaide - Central and Hills,2022-04-01,172769,6706,3.73656459,66.99372224
Adelaide,401,401 Adelaide - Central and Hills,2022-05-01,173456,7014,3.88658128,67.25636957
Adelaide,401,401 Adelaide - Central and Hills,2022-06-01,174140,6143,3.40738075,67.07893711
Adelaide,401,401 Adelaide - Central and Hills,2022-07-01,177179,5660,3.09586786,67.85413392
