date,state,industry,employed_persons
2019-02-01,Australia,accommodation_and_food_services,891178
2019-02-01,Australia,administrative_and_support_services,436313
2019-02-01,Australia,agriculture_forestry_and_fishing,348146
2019-02-01,Australia,arts_and_recreation_services,253969
2019-02-01,Australia,construction,1145833
2019-02-01,Australia,education_and_training,1001705
2019-02-01,Australia,electricity_gas_water_and_waste_services,154251
2019-02-01,Australia,financial_and_insurance_services,446461
2019-02-01,Australia,health_care_and_social_assistance,1693382
2019-02-01,Australia,information_media_and_telecommunications,210883
2019-02-01,Australia,manufacturing,853426
2019-02-01,Australia,mining,264325
2019-02-01,Australia,other_services,529214
2019-02-01,Australia,professional_scientific_and_technical_services,1127409
2019-02-01,Australia,public_administration_and_safety,872950
2019-02-01,Australia,rental_hiring_and_real_estate_services,207418
2019-02-01,Australia,retail_trade,1286950
2019-02-01,Australia,total,12778105
2019-02-01,Australia,transport_postal_and_warehousing,673670
2019-02-01,Australia,wholesale_trade,380621
2019-05-01,Australia,accommodation_and_food_services,910401
2019-05-01,Australia,administrative_and_support_services,462917
2019-05-01,Australia,agriculture_forestry_and_fishing,330518
2019-05-01,Australia,arts_and_recreation_services,251842
2019-05-01,Australia,construction,1178856
2019-05-01,Australia,education_and_training,1073477
2019-05-01,Australia,electricity_gas_water_and_waste_services,159961
2019-05-01,Australia,financial_and_insurance_services,433272
2019-05-01,Australia,health_care_and_social_assistance,1671271
2019-05-01,Australia,information_media_and_telecommunications,200824
2019-05-01,Australia,manufacturing,905550
2019-05-01,Australia,mining,259030
2019-05-01,Australia,other_services,521440
2019-05-01,Australia,professional_scientific_and_technical_services,1128972
2019-05-01,Australia,public_administration_and_safety,839339
2019-05-01,Australia,rental_hiring_and_real_estate_services,212054
2019-05-01,Australia,retail_trade,1280732
2019-05-01,Australia,total,12872420
2019-05-01,Australia,transport_postal_and_warehousing,647968
2019-05-01,Australia,wholesale_trade,403992
2019-08-01,Australia,accommodation_and_food_services,894457
2019-08-01,Australia,administrative_and_support_services,472759
2019-08-01,Australia,agriculture_forestry_and_fishing,317401
2019-08-01,Australia,arts_and_recreation_services,239625
2019-08-01,Australia,construction,1165131
2019-08-01,Australia,education_and_training,1111414
2019-08-01,Australia,electricity_gas_water_and_waste_services,163920
2019-08-01,Australia,financial_and_insurance_services,436362
2019-08-01,Australia,health_care_and_social_assistance,1734708
2019-08-01,Australia,information_media_and_telecommunications,207323
2019-08-01,Australia,manufacturing,854230
2019-08-01,Australia,mining,254203
2019-08-01,Australia,other_services,503072
2019-08-01,Australia,professional_scientific_and_technical_services,1152106
2019-08-01,Australia,public_administration_and_safety,808354
2019-08-01,Australia,rental_hiring_and_real_estate_services,206186
2019-08-01,Australia,retail_trade,1224873
2019-08-01,Australia,total,12823403
2019-08-01,Australia,transport_postal_and_warehousing,664573
2019-08-01,Australia,wholesale_trade,412708
2019-11-01,Australia,accommodation_and_food_services,916710
2019-11-01,Australia,administrative_and_support_services,436872
