city,geography_code,geography_name,industry_name,number_of_jobs,median_income_dollars
Adelaide,40101,Adelaide City,accommodation_food_services,5751,6164
Adelaide,40101,Adelaide City,administrative_support_services,3107,7190
Adelaide,40101,Adelaide City,agriculture,281,6129
Adelaide,40101,Adelaide City,arts_recreation_services,971,8510
Adelaide,40101,Adelaide City,construction,679,31025
Adelaide,40101,Adelaide City,education_training,2418,17604
Adelaide,40101,Adelaide City,electricity,129,63739
Adelaide,40101,Adelaide City,finance_insurance_services,998,35174
Adelaide,40101,Adelaide City,health_care_social_assistance,3207,31502
Adelaide,40101,Adelaide City,information_media_telecommunications,546,38809
Adelaide,40101,Adelaide City,manufacturing,1001,29883
Adelaide,40101,Adelaide City,mining,249,92243
Adelaide,40101,Adelaide City,other_services,707,17562
Adelaide,40101,Adelaide City,professional,2956,48216
Adelaide,40101,Adelaide City,public_administration_safety,1365,58574
Adelaide,40101,Adelaide City,rental,574,15288
Adelaide,40101,Adelaide City,retail_trade,2534,11968
Adelaide,40101,Adelaide City,total,28784,16245
Adelaide,40101,Adelaide City,transport,397,29532
Adelaide,40101,Adelaide City,wholesale_trade,645,24442
Adelaide,40102,Adelaide Hills,accommodation_food_services,4708,7711
Adelaide,40102,Adelaide Hills,administrative_support_services,4439,17122
Adelaide,40102,Adelaide Hills,agriculture,1563,16505
Adelaide,40102,Adelaide Hills,arts_recreation_services,1248,9946
Adelaide,40102,Adelaide Hills,construction,3808,50499
Adelaide,40102,Adelaide Hills,education_training,6390,41090
Adelaide,40102,Adelaide Hills,electricity,576,102261
Adelaide,40102,Adelaide Hills,finance_insurance_services,2264,44288
Adelaide,40102,Adelaide Hills,health_care_social_assistance,9176,40577
Adelaide,40102,Adelaide Hills,information_media_telecommunications,788,43952
Adelaide,40102,Adelaide Hills,manufacturing,3776,43189
Adelaide,40102,Adelaide Hills,mining,830,120649
Adelaide,40102,Adelaide Hills,other_services,2000,28551
Adelaide,40102,Adelaide Hills,professional,4569,57386
Adelaide,40102,Adelaide Hills,public_administration_safety,4591,70739
Adelaide,40102,Adelaide Hills,rental,1110,33070
Adelaide,40102,Adelaide Hills,retail_trade,5540,18044
Adelaide,40102,Adelaide Hills,total,61721,34369
Adelaide,40102,Adelaide Hills,transport,1505,53842
Adelaide,40102,Adelaide Hills,wholesale_trade,2176,55376
Adelaide,40103,Burnside,accommodation_food_services,3227,6198
Adelaide,40103,Burnside,administrative_support_services,2367,12553
Adelaide,40103,Burnside,agriculture,232,22263
Adelaide,40103,Burnside,arts_recreation_services,788,7445
Adelaide,40103,Burnside,construction,1046,53403
Adelaide,40103,Burnside,education_training,4025,28748
Adelaide,40103,Burnside,electricity,252,101142
Adelaide,40103,Burnside,finance_insurance_services,1537,52745
Adelaide,40103,Burnside,health_care_social_assistance,6082,46176
Adelaide,40103,Burnside,information_media_telecommunications,518,49206
Adelaide,40103,Burnside,manufacturing,1372,50000
Adelaide,40103,Burnside,mining,352,146716
Adelaide,40103,Burnside,other_services,926,24715
Adelaide,40103,Burnside,professional,3887,60490
Adelaide,40103,Burnside,public_administration_safety,2185,63706
Adelaide,40103,Burnside,rental,747,42362
Adelaide,40103,Burnside,retail_trade,2996,13686
Adelaide,40103,Burnside,total,34743,31185
Adelaide,40103,Burnside,transport,571,54114
Adelaide,40103,Burnside,wholesale_trade,1092,50040
Adelaide,40104,Campbelltown (SA),accommodation_food_services,4134,7746
Adelaide,40104,Campbelltown (SA),administrative_support_services,3806,12798
Adelaide,40104,Campbelltown (SA),agriculture,195,19344
